"INDUSTRY_CATEGORY","TICKER"
"Electronics","AMD"
"Health Services","AMDA"
"Manufacturing","AME"
"Health Services","AMED"
"Diversified Services","AMEH"
"Financial Services","AMG"
"Drugs","AMGN"
"Energy","AMGP"
"Real Estate","AMH"
"Real Estate","AMHpD"
"Real Estate","AMHpE"
"Real Estate","AMHpF"
"Real Estate","AMHpG"
"Energy","AMID"
"Electronics","AMKR"
"Media","AMMA"
"Materials & Construction","AMN"
"Banking","AMNB"
"Manufacturing","AMOT"
"Telecommunications","AMOV"
"Financial Services","AMP"
"Drugs","AMPE"
"Drugs","AMPH"
"Conglomerates","AMR"
"Banking","AMRB"
"Diversified Services","AMRC"
"Electronics","AMRH"
"Electronics","AMRHW"
"Financial Services","AMRK"
"Drugs","AMRN"
"Chemicals","AMRS"
"Conglomerates","AMRWW"
"Health Services","AMS"
"Manufacturing","AMSC"
"Insurance","AMSF"
"Computer Software & Services","AMSWA"
"Real Estate","AMT"
"Financial Services","AMTD"
"Chemicals","AMTX"
"Consumer Durables","AMWD"
"Telecommunications","AMX"
"Retail","AMZN"
"Specialty Retail","AN"
"Drugs","ANAB"
"Insurance","ANAT"
"Banking","ANCB"
"Banking","ANCX"
"Food & Beverage","ANDE"
"Energy","ANDV"
"Energy","ANDX"
"Computer Hardware","ANET"
"Retail","ANF"
"Food & Beverage","ANFI"
"Media","ANGI"
"Health Services","ANGO"
"Real Estate","ANH"
"Real Estate","ANHpA"
"Real Estate","ANHpB"
"Real Estate","ANHpC"
"Drugs","ANIK"
"Drugs","ANIP"
"Diversified Services","ANIX"
"Computer Software & Services","ANSS"
"Health Services","ANTM"
"Energy","ANW"
"Computer Software & Services","ANY"
"Aerospace/Defense","AOBC"
"Financial Services","AOD"
"Insurance","AON"
"Manufacturing","AOS"
"Electronics","AOSL"
"Manufacturing","AP"
"Energy","APA"
"Financial Services","APAM"
"Financial Services","APB"
"Energy","APC"
"Chemicals","APD"
"Computer Software & Services","APDN"
"Computer Software & Services","APDNW"
"Diversified Services","APEI"
"Health Services","APEN"
"Financial Services","APF"
"Electronics","APH"
"Drugs","APHB"
"Real Estate","APLE"
"Financial Services","APO"
"Materials & Construction","APOG"
"Drugs","APOP"
"Financial Services","APOpA"
"Financial Services","APOpB"
"Drugs","APOPW"
"Computer Software & Services","APPF"
"Computer Software & Services","APPN"
"Computer Software & Services","APPS"
"Drugs","APRI"
"Retail","APRN"
"Materials & Construction","APT"
"Diversified Services","APTI"
"Drugs","APTO"
"Real Estate","APTS"
"Automotive","APTV"
"Utilities","APU"
"Drugs","APVO"
"Manufacturing","APWC"
"Materials & Construction","AQMS"
"Utilities","AQN"
"Drugs","AQXP"
"Energy","AR"
"Health Services","ARA"
"Health Services","ARAY"
"Diversified Services","ARC"
"Transportation","ARCB"
"Financial Services","ARCC"
"Metals & Mining","ARCH"
"Retail","ARCI"
"Leisure","ARCO"
"Drugs","ARCT"
"Manufacturing","ARCW"
"Consumer NonDurables","ARD"
"Drugs","ARDM"
"Drugs","ARDX"
"Real Estate","ARE"
"Real Estate","AREpD"
"Financial Services","ARES"
"Financial Services","ARESpA"
"Energy","AREX"
"Insurance","ARGO"
"Drugs","ARGX"
"Real Estate","ARI"
"Transportation","ARII"
"Real Estate","ARIpC"
"Leisure","ARKR"
"Real Estate","ARL"
"Metals & Mining","ARLP"
"Drugs","ARLZ"
"Leisure","ARMK"
"Drugs","ARNA"
"Metals & Mining","ARNC"
"Metals & Mining","ARNCp"
"Energy","AROC"
"Banking","AROW"
"Drugs","ARPO"
"Drugs","ARQL"
"Real Estate","ARR"
"Real Estate","ARRpA"
"Real Estate","ARRpB"
"Telecommunications","ARRS"
"Drugs","ARRY"
"Utilities","ARTNA"
"Manufacturing","ARTW"
"Manufacturing","ARTX"
"Wholesale","ARW"
"Drugs","ARWR"
"Financial Services","ASA"
"Banking","ASB"
"Banking","ASBpC"
"Banking","ASBpD"
"Transportation","ASC"
"Diversified Services","ASCMA"
"Diversified Services","ASFI"
"Financial Services","ASG"
"Diversified Services","ASGN"
"Chemicals","ASH"
"Chemicals","ASIX"
"Metals & Mining","ASM"
"Drugs","ASMB"
"Electronics","ASML"
"Retail","ASNA"
"Drugs","ASND"
"Materials & Construction","ASPN"
"Diversified Services","ASPS"
"Diversified Services","ASPU"
"Transportation","ASR"
"Drugs","ASRT"
"Banking","ASRV"
"Banking","ASRVP"
"Drugs","AST"
"Aerospace/Defense","ASTC"
"Manufacturing","ASTE"
"Computer Software & Services","ASUR"
"Manufacturing","ASV"
"Electronics","ASX"
"Electronics","ASYS"
"Utilities","AT"
"Diversified Services","ATAI"
"Real Estate","ATAX"
"Health Services","ATEC"
"Telecommunications","ATEN"
"Diversified Services","ATGE"
"Financial Services","ATH"
"Internet","ATHM"
"Computer Software & Services","ATHN"
"Drugs","ATHX"
"Manufacturing","ATI"
"Manufacturing","ATIS"
"Manufacturing","ATISW"
"Manufacturing","ATKR"
"Financial Services","ATLC"
"Banking","ATLO"
"Telecommunications","ATNI"
"Drugs","ATNM"
"Drugs","ATNX"
"Utilities","ATO"
"Electronics","ATOM"
"Drugs","ATOS"
"Consumer NonDurables","ATR"
"Drugs","ATRA"
"Health Services","ATRC"
"Health Services","ATRI"
"Aerospace/Defense","ATRO"
"Health Services","ATRS"
"Transportation","ATSG"
"Diversified Services","ATTO"
"Computer Software & Services","ATTU"
"Manufacturing","ATU"
"Media","ATUS"
"Retail","ATV"
"Computer Software & Services","ATVI"
"Drugs","ATXI"
"Metals & Mining","AU"
"Banking","AUBN"
"Telecommunications","AUDC"
"Metals & Mining","AUMN"
"Electronics","AUO"
"Drugs","AUPH"
"Internet","AUTO"
"Metals & Mining","AUY"
"Utilities","AVA"
"Banking","AVAL"
"Aerospace/Defense","AVAV"
"Real Estate","AVB"
"Chemicals","AVD"
"Drugs","AVDL"
"Drugs","AVEO"
"Electronics","AVGO"
"Health Services","AVGR"
"Transportation","AVH"
"Materials & Construction","AVHI"
"Computer Software & Services","AVID"
"Health Services","AVNS"
"Telecommunications","AVNW"
"Consumer NonDurables","AVP"
"Wholesale","AVT"
"Electronics","AVX"
"Drugs","AVXL"
"Consumer Durables","AVY"
"Telecommunications","AVYA"
"Financial Services","AWF"
"Materials & Construction","AWI"
"Utilities","AWK"
"Financial Services","AWP"
"Utilities","AWR"
"Computer Software & Services","AWRE"
"Telecommunications","AWSM"
"Materials & Construction","AWX"
"Banking","AX"
"Insurance","AXAHF3670215"
"Financial Services","AXAHF4134402"
"Financial Services","AXAHF4134403"
"Energy","AXAS"
"Health Services","AXDX"
"Wholesale","AXE"
"Health Services","AXGN"
"Automotive","AXL"
"Drugs","AXON"
"Financial Services","AXP"
"Diversified Services","AXR"
"Insurance","AXS"
"Drugs","AXSM"
"Insurance","AXSpD"
"Insurance","AXSpE"
"Chemicals","AXTA"
"Electronics","AXTI"
"Metals & Mining","AXU"
"Utilities","AY"
"Electronics","AYI"
"Diversified Services","AYR"
"Drugs","AYTU"
"Computer Software & Services","AYX"
"Drugs","AZN"
"Retail","AZO"
"Computer Software & Services","AZPN"
"Utilities","AZRE"
"Drugs","AZRX"
"Transportation","AZUL"
"Manufacturing","AZZ"
"Manufacturing","B"
"Aerospace/Defense","BA"
"Specialty Retail","BABA"
"Health Services","BABY"
"Banking","BAC"
"Banking","BACpA"
"Banking","BACpB"
"Banking","BACpC"
"Banking","BACpE"
"Banking","BACpK"
"Banking","BACpL"
"Banking","BACpW"
"Banking","BACpY"
"Banking","BAC.WS.A"
"Banking","BAC.WS.B"
"Financial Services","BAF"
"Diversified Services","BAH"
"Chemicals","BAK"
"Banking","BALB"
"Real Estate","BAM"
"Banking","BANC"
"Banking","BANCpD"
"Banking","BANCpE"
"Banking","BANF"
"Banking","BANR"
"Financial Services","BANX"
"Banking","BAP"
"Energy","BAS"
"Diversified Services","BASI"
"Media","BATRA"
"Media","BATRK"
"Health Services","BAX"
"Telecommunications","BB"
"Retail","BBBY"
"Chemicals","BBC"
"Banking","BBD"
"Financial Services","BBDC"
"Banking","BBDO"
"Financial Services","BBF"
"Media","BBGI"
"Financial Services","BBK"
"Metals & Mining","BBL"
